"team1_name","team1_score","team2_name","team2_score","location","nOT","game_length"
"Toronto Raptors",84,"Denver Nuggets",79,"Toronto",0,48
"Atlanta Hawks",89,"New Orleans Hornets",82,"Atlanta",0,48
"Chicago Bulls",111,"Memphis Grizzlies",93,"Chicago",0,48
"San Antonio Spurs",90,"Cleveland Cavaliers",77,"Cleveland",0,48
"Detroit Pistons",74,"Denver Nuggets",53,"Detroit",0,48
"Golden State Warriors",135,"Orlando Magic",92,"Golden State",0,48
"Milwaukee Bucks",104,"Boston Celtics",85,"Milwaukee",0,48
"Indiana Pacers",107,"Minnesota Timberwolves",101,"Minnesota",0,48
"Dallas Mavericks",96,"New Jersey Nets",88,"New Jersey",0,48
"Philadelphia 76ers",93,"New York Knicks",92,"New York",0,48
"Washington Wizards",95,"Miami Heat",65,"Washington",0,48
"Seattle Supersonics",84,"Los Angeles Clippers",78,"Los Angeles",0,48
"Houston Rockets",93,"Los Angeles Lakers",89,"Los Angeles",0,48
"Philadelphia 76ers",100,"Washington Wizards",84,"Philadelphia",0,48
"Sacramento Kings",101,"Orlando Magic",99,"Sacramento",0,48
"Utah Jazz",82,"Toronto Raptors",78,"Toronto",0,48
"Atlanta Hawks",117,"Toronto Raptors",92,"Atlanta",0,48
"Los Angeles Clippers",99,"Golden State Warriors",89,"Golden State",0,48
"New Jersey Nets",99,"Denver Nuggets",79,"New Jersey",0,48
"New York Knicks",94,"Detroit Pistons",91,"New York",0,48
"San Antonio Spurs",104,"Cleveland Cavaliers",78,"San Antonio",0,48
"Dallas Mavericks",98,"Los Angeles Lakers",72,"Dallas",0,48
"Houston Rockets",97,"Cleveland Cavaliers",80,"Houston",0,48
"Miami Heat",97,"Milwaukee Bucks",93,"Milwaukee",0,48
"Minnesota Timberwolves",110,"Memphis Grizzlies",106,"Minnesota",1,53
"New Orleans Hornets",99,"Philadelphia 76ers",98,"New Orleans",0,48
"Sacramento Kings",111,"Chicago Bulls",98,"Sacramento",0,48
"Orlando Magic",101,"Seattle Supersonics",84,"Seattle",0,48
"Utah Jazz",99,"Phoenix Suns",76,"Utah",0,48
"Minnesota Timberwolves",103,"Atlanta Hawks",93,"Atlanta",0,48
"Boston Celtics",96,"New Jersey Nets",79,"Boston",0,48
"Utah Jazz",96,"Denver Nuggets",79,"Denver",0,48
"Detroit Pistons",79,"Miami Heat",68,"Detroit",0,48
"Golden State Warriors",100,"Chicago Bulls",94,"Golden State",0,48
"Sacramento Kings",93,"Los Angeles Clippers",89,"Los Angeles",0,48
"Philadelphia 76ers",95,"Memphis Grizzlies",88,"Memphis",0,48
"Portland Trail Blazers",98,"Orlando Magic",84,"Portland",0,48
"San Antonio Spurs",95,"Los Angeles Lakers",88,"San Antonio",0,48
"Indiana Pacers",97,"Toronto Raptors",95,"Toronto",0,48
"Dallas Mavericks",103,"Houston Rockets",90,"Dallas",0,48
